単位_db_code,単位_db,表頭_集計項目_db_code,表頭_集計項目_db,表側_集計項目_db_code,表側_集計項目_db,都道府県_code,都道府県,時間軸_db_code,時間軸_db,unit,value
0101300,百万円,01040110,販売額等,01030100,販売額等,07000,福島県,2023100000,2023年度,,46981
0101300,百万円,01040110,販売額等,01030100,販売額等,07000,福島県,2023001012,2023年10～12月,,11757
0101300,百万円,01040110,販売額等,01030100,販売額等,07000,福島県,2024000103,2024年1～3月,,12628
0101300,百万円,01040110,販売額等,01030100,販売額等,07000,福島県,2024000406,2024年4～6月,,10268
0101300,百万円,01040110,販売額等,01030100,販売額等,07000,福島県,2024000709,2024年7～9月,,12112
0101300,百万円,01040110,販売額等,01030100,販売額等,07000,福島県,2024001012,2024年10～12月,,11394
0101300,百万円,01040110,販売額等,01030100,販売額等,07000,福島県,2023001111,2023年11月,,3612
0101300,百万円,01040110,販売額等,01030100,販売額等,07000,福島県,2023001212,2023年12月,,4663
0101300,百万円,01040110,販売額等,01030100,販売額等,07000,福島県,2024000101,2024年1月,,4639
0101300,百万円,01040110,販売額等,01030100,販売額等,07000,福島県,2024000202,2024年2月,,3513
0101300,百万円,01040110,販売額等,01030100,販売額等,07000,福島県,2024000303,2024年3月,,4476
0101300,百万円,01040110,販売額等,01030100,販売額等,07000,福島県,2024000404,2024年4月,,3244
0101300,百万円,01040110,販売額等,01030100,販売額等,07000,福島県,2024000505,2024年5月,,3204
0101300,百万円,01040110,販売額等,01030100,販売額等,07000,福島県,2024000606,2024年6月,,3820
0101300,百万円,01040110,販売額等,01030100,販売額等,07000,福島県,2024000707,2024年7月,,4320
0101300,百万円,01040110,販売額等,01030100,販売額等,07000,福島県,2024000808,2024年8月,,4130
0101300,百万円,01040110,販売額等,01030100,販売額等,07000,福島県,2024000909,2024年9月,,3662
0101300,百万円,01040110,販売額等,01030100,販売額等,07000,福島県,2024001010,2024年10月,,3168
0101300,百万円,01040110,販売額等,01030100,販売額等,07000,福島県,2024001111,2024年11月,,3568
