表章項目_code,表章項目,出生児数・死亡者数_code,出生児数・死亡者数,男女別_code,男女別,日本人・外国人_code,日本人・外国人,全国・都道府県_code,全国・都道府県,時間軸（年間）_code,時間軸（年間）,unit,value
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,20000,長野県,2023001011,2023年10月～2024年9月,人,86
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,21000,岐阜県,2023001011,2023年10月～2024年9月,人,245
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,22000,静岡県,2023001011,2023年10月～2024年9月,人,417
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,23000,愛知県,2023001011,2023年10月～2024年9月,人,1335
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,24000,三重県,2023001011,2023年10月～2024年9月,人,237
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,25000,滋賀県,2023001011,2023年10月～2024年9月,人,160
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,26000,京都府,2023001011,2023年10月～2024年9月,人,169
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,27000,大阪府,2023001011,2023年10月～2024年9月,人,948
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,28000,兵庫県,2023001011,2023年10月～2024年9月,人,352
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,29000,奈良県,2023001011,2023年10月～2024年9月,人,39
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,30000,和歌山県,2023001011,2023年10月～2024年9月,人,14
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,31000,鳥取県,2023001011,2023年10月～2024年9月,人,7
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,32000,島根県,2023001011,2023年10月～2024年9月,人,52
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,33000,岡山県,2023001011,2023年10月～2024年9月,人,94
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,34000,広島県,2023001011,2023年10月～2024年9月,人,134
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,35000,山口県,2023001011,2023年10月～2024年9月,人,43
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,36000,徳島県,2023001011,2023年10月～2024年9月,人,15
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,37000,香川県,2023001011,2023年10月～2024年9月,人,39
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,38000,愛媛県,2023001011,2023年10月～2024年9月,人,30
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,39000,高知県,2023001011,2023年10月～2024年9月,人,5
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,40000,福岡県,2023001011,2023年10月～2024年9月,人,334
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,41000,佐賀県,2023001011,2023年10月～2024年9月,人,26
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,42000,長崎県,2023001011,2023年10月～2024年9月,人,37
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,43000,熊本県,2023001011,2023年10月～2024年9月,人,51
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,44000,大分県,2023001011,2023年10月～2024年9月,人,38
