表章項目_code,表章項目,調査項目_code,調査項目,全体_code,全体,国籍_code,国籍,時間軸（四半期）_code,時間軸（四半期）,unit,value
140,消費単価,100,全体,00100,全体,00160,マレーシア,2015001012,2015年10～12月期,円／人,109571
140,消費単価,100,全体,00100,全体,00170,インドネシア,2017000709,2017年7～9月期,円／人,128644
140,消費単価,100,全体,00100,全体,00170,インドネシア,2017000406,2017年4～6月期,円／人,102026
140,消費単価,100,全体,00100,全体,00170,インドネシア,2017000103,2017年1～3月期,円／人,123196
140,消費単価,100,全体,00100,全体,00170,インドネシア,2016001012,2016年10～12月期,円／人,110477
140,消費単価,100,全体,00100,全体,00170,インドネシア,2016000709,2016年7～9月期,円／人,137040
140,消費単価,100,全体,00100,全体,00170,インドネシア,2016000406,2016年4～6月期,円／人,93354
140,消費単価,100,全体,00100,全体,00170,インドネシア,2016000103,2016年1～3月期,円／人,132511
140,消費単価,100,全体,00100,全体,00170,インドネシア,2015001012,2015年10～12月期,円／人,113537
140,消費単価,100,全体,00100,全体,00180,フィリピン,2017000709,2017年7～9月期,円／人,136523
140,消費単価,100,全体,00100,全体,00180,フィリピン,2017000406,2017年4～6月期,円／人,82426
140,消費単価,100,全体,00100,全体,00180,フィリピン,2017000103,2017年1～3月期,円／人,98000
140,消費単価,100,全体,00100,全体,00180,フィリピン,2016001012,2016年10～12月期,円／人,82277
140,消費単価,100,全体,00100,全体,00180,フィリピン,2016000709,2016年7～9月期,円／人,134762
140,消費単価,100,全体,00100,全体,00180,フィリピン,2016000406,2016年4～6月期,円／人,104893
140,消費単価,100,全体,00100,全体,00180,フィリピン,2016000103,2016年1～3月期,円／人,109610
140,消費単価,100,全体,00100,全体,00180,フィリピン,2015001012,2015年10～12月期,円／人,141586
140,消費単価,100,全体,00100,全体,00190,ベトナム,2017000709,2017年7～9月期,円／人,239093
140,消費単価,100,全体,00100,全体,00190,ベトナム,2017000406,2017年4～6月期,円／人,149420
140,消費単価,100,全体,00100,全体,00190,ベトナム,2017000103,2017年1～3月期,円／人,155113
140,消費単価,100,全体,00100,全体,00190,ベトナム,2016001012,2016年10～12月期,円／人,123250
140,消費単価,100,全体,00100,全体,00190,ベトナム,2016000709,2016年7～9月期,円／人,132622
140,消費単価,100,全体,00100,全体,00190,ベトナム,2016000406,2016年4～6月期,円／人,198929
140,消費単価,100,全体,00100,全体,00190,ベトナム,2016000103,2016年1～3月期,円／人,177462
140,消費単価,100,全体,00100,全体,00190,ベトナム,2015001012,2015年10～12月期,円／人,151716
140,消費単価,100,全体,00100,全体,00200,インド,2017000709,2017年7～9月期,円／人,181169
140,消費単価,100,全体,00100,全体,00200,インド,2017000406,2017年4～6月期,円／人,134482
140,消費単価,100,全体,00100,全体,00200,インド,2017000103,2017年1～3月期,円／人,148124
140,消費単価,100,全体,00100,全体,00200,インド,2016001012,2016年10～12月期,円／人,87470
140,消費単価,100,全体,00100,全体,00200,インド,2016000709,2016年7～9月期,円／人,146784
140,消費単価,100,全体,00100,全体,00200,インド,2016000406,2016年4～6月期,円／人,145234
140,消費単価,100,全体,00100,全体,00200,インド,2016000103,2016年1～3月期,円／人,167178
140,消費単価,100,全体,00100,全体,00200,インド,2015001012,2015年10～12月期,円／人,146324
140,消費単価,100,全体,00100,全体,00210,英国,2017000709,2017年7～9月期,円／人,199232
140,消費単価,100,全体,00100,全体,00210,英国,2017000406,2017年4～6月期,円／人,199837
140,消費単価,100,全体,00100,全体,00210,英国,2017000103,2017年1～3月期,円／人,152290
140,消費単価,100,全体,00100,全体,00210,英国,2016001012,2016年10～12月期,円／人,140393
140,消費単価,100,全体,00100,全体,00210,英国,2016000709,2016年7～9月期,円／人,175307
140,消費単価,100,全体,00100,全体,00210,英国,2016000406,2016年4～6月期,円／人,140479
140,消費単価,100,全体,00100,全体,00210,英国,2016000103,2016年1～3月期,円／人,151662
140,消費単価,100,全体,00100,全体,00210,英国,2015001012,2015年10～12月期,円／人,169051
140,消費単価,100,全体,00100,全体,00220,ドイツ,2017000709,2017年7～9月期,円／人,180062
140,消費単価,100,全体,00100,全体,00220,ドイツ,2017000406,2017年4～6月期,円／人,168413
140,消費単価,100,全体,00100,全体,00220,ドイツ,2017000103,2017年1～3月期,円／人,125700
140,消費単価,100,全体,00100,全体,00220,ドイツ,2016001012,2016年10～12月期,円／人,119549
140,消費単価,100,全体,00100,全体,00220,ドイツ,2016000709,2016年7～9月期,円／人,169871
140,消費単価,100,全体,00100,全体,00220,ドイツ,2016000406,2016年4～6月期,円／人,178935
